Country Name,Series Code,LatestValue
Kuwait,NY.GDP.MKTP.CD,160227273053.334
Kuwait,SP.POP.TOTL,4897263
Kyrgyz Republic,NY.GDP.MKTP.CD,17478259659.2625
Kyrgyz Republic,SP.POP.TOTL,7221868
Lao PDR,NY.GDP.MKTP.CD,16502933121.3379
Lao PDR,SP.POP.TOTL,7769819
Latvia,NY.GDP.MKTP.CD,43684254432.3609
Latvia,SP.POP.TOTL,1866124
Lebanon,NY.GDP.MKTP.CD,
Lebanon,SP.POP.TOTL,5805962
Lesotho,NY.GDP.MKTP.CD,2271759454.51107
Lesotho,SP.POP.TOTL,2337423
Liberia,NY.GDP.MKTP.CD,4779300900
Liberia,SP.POP.TOTL,5612817
Libya,NY.GDP.MKTP.CD,48487151215.345
Libya,SP.POP.TOTL,7381023
Liechtenstein,NY.GDP.MKTP.CD,
Liechtenstein,SP.POP.TOTL,40450
Lithuania,NY.GDP.MKTP.CD,84869215513.3648
Lithuania,SP.POP.TOTL,2888278
Luxembourg,NY.GDP.MKTP.CD,93279851863.4062
Luxembourg,SP.POP.TOTL,677012
"Macao SAR, China",NY.GDP.MKTP.CD,49467258923.3244
"Macao SAR, China",SP.POP.TOTL,687000
Madagascar,NY.GDP.MKTP.CD,17420501490.1231
Madagascar,SP.POP.TOTL,31964956
Malawi,NY.GDP.MKTP.CD,11316411329.4619
Malawi,SP.POP.TOTL,21655286
Malaysia,NY.GDP.MKTP.CD,422227005428.688
Malaysia,SP.POP.TOTL,35557673
Maldives,NY.GDP.MKTP.CD,7061608267.25451
Maldives,SP.POP.TOTL,527799
Mali,NY.GDP.MKTP.CD,26794747239.8805
Mali,SP.POP.TOTL,24478595
Malta,NY.GDP.MKTP.CD,24971574502.4475
Malta,SP.POP.TOTL,568847
Marshall Islands,NY.GDP.MKTP.CD,290108489.990234
Marshall Islands,SP.POP.TOTL,37548
Mauritania,NY.GDP.MKTP.CD,10908045686.8808
Mauritania,SP.POP.TOTL,5169395
Mauritius,NY.GDP.MKTP.CD,14937861786.17
Mauritius,SP.POP.TOTL,1245779
Mexico,NY.GDP.MKTP.CD,1856365616165.94
Mexico,SP.POP.TOTL,130861007
"Micronesia, Fed. Sts.",NY.GDP.MKTP.CD,471425099.488675
"Micronesia, Fed. Sts.",SP.POP.TOTL,113160
Moldova,NY.GDP.MKTP.CD,18200340853.6517
Moldova,SP.POP.TOTL,2402306
Monaco,NY.GDP.MKTP.CD,11125783372.4794
Monaco,SP.POP.TOTL,38631
Mongolia,NY.GDP.MKTP.CD,23794540024.5132
Mongolia,SP.POP.TOTL,3524788
Montenegro,NY.GDP.MKTP.CD,8270016670.86774
Montenegro,SP.POP.TOTL,623525
Morocco,NY.GDP.MKTP.CD,160610994054.734
Morocco,SP.POP.TOTL,38081173
Mozambique,NY.GDP.MKTP.CD,22745341305.0622
Mozambique,SP.POP.TOTL,34631766
Myanmar,NY.GDP.MKTP.CD,74068349523.8095
Myanmar,SP.POP.TOTL,54500091
Namibia,NY.GDP.MKTP.CD,13372354511.716
Namibia,SP.POP.TOTL,3030131
Nauru,NY.GDP.MKTP.CD,162588620.632234
Nauru,SP.POP.TOTL,11947
Nepal,NY.GDP.MKTP.CD,42914268286.7109
Nepal,SP.POP.TOTL,29651054
Netherlands,NY.GDP.MKTP.CD,1214927698572.66
Netherlands,SP.POP.TOTL,17993485
New Caledonia,NY.GDP.MKTP.CD,8548919387.12607
New Caledonia,SP.POP.TOTL,292639
New Zealand,NY.GDP.MKTP.CD,260172385097.616
New Zealand,SP.POP.TOTL,5287500
Nicaragua,NY.GDP.MKTP.CD,19693982967.5926
Nicaragua,SP.POP.TOTL,6916140
Niger,NY.GDP.MKTP.CD,19876128485.7857
Niger,SP.POP.TOTL,27032412
Nigeria,NY.GDP.MKTP.CD,252261880141.151
Nigeria,SP.POP.TOTL,232679478
North Macedonia,NY.GDP.MKTP.CD,16951682245.4202
North Macedonia,SP.POP.TOTL,1824359
Northern Mariana Islands,NY.GDP.MKTP.CD,
Northern Mariana Islands,SP.POP.TOTL,44278
Norway,NY.GDP.MKTP.CD,483592648313.301
Norway,SP.POP.TOTL,5572279
Oman,NY.GDP.MKTP.CD,107137198769.386
Oman,SP.POP.TOTL,5281538
Pakistan,NY.GDP.MKTP.CD,371570000121.266
Pakistan,SP.POP.TOTL,251269164
Palau,NY.GDP.MKTP.CD,
Palau,SP.POP.TOTL,17695
Panama,NY.GDP.MKTP.CD,86523959131.7472
Panama,SP.POP.TOTL,4515577
Papua New Guinea,NY.GDP.MKTP.CD,31800428265.5246
Papua New Guinea,SP.POP.TOTL,10576502
Paraguay,NY.GDP.MKTP.CD,44458118397.4445
Paraguay,SP.POP.TOTL,6929153
Peru,NY.GDP.MKTP.CD,289221969062.941
Peru,SP.POP.TOTL,34217848
Philippines,NY.GDP.MKTP.CD,461617509782.355
Philippines,SP.POP.TOTL,115843670
Poland,NY.GDP.MKTP.CD,917767106146.761
Poland,SP.POP.TOTL,36559233
Portugal,NY.GDP.MKTP.CD,313271185085.102
Portugal,SP.POP.TOTL,10694681
Puerto Rico (US),NY.GDP.MKTP.CD,126029527033.705
Puerto Rico (US),SP.POP.TOTL,3203295
Qatar,NY.GDP.MKTP.CD,219162637362.637
Qatar,SP.POP.TOTL,2857822
Romania,NY.GDP.MKTP.CD,382564217988.866
Romania,SP.POP.TOTL,19051804
Russian Federation,NY.GDP.MKTP.CD,2173835806671.66
Russian Federation,SP.POP.TOTL,143533851
Rwanda,NY.GDP.MKTP.CD,14251642235.0968
Rwanda,SP.POP.TOTL,14256567
Samoa,NY.GDP.MKTP.CD,1175749785.65113
Samoa,SP.POP.TOTL,218019
San Marino,NY.GDP.MKTP.CD,
San Marino,SP.POP.TOTL,33977
Sao Tome and Principe,NY.GDP.MKTP.CD,822154621.088897
Sao Tome and Principe,SP.POP.TOTL,235536
Saudi Arabia,NY.GDP.MKTP.CD,1239804533333.33
Saudi Arabia,SP.POP.TOTL,35300280
Senegal,NY.GDP.MKTP.CD,32808056600.9436
Senegal,SP.POP.TOTL,18501984
Serbia,NY.GDP.MKTP.CD,90097765959.1114
Serbia,SP.POP.TOTL,6586476
Seychelles,NY.GDP.MKTP.CD,2167239562.46013
Seychelles,SP.POP.TOTL,121354
Sierra Leone,NY.GDP.MKTP.CD,6971127235.3123
Sierra Leone,SP.POP.TOTL,8642022
Singapore,NY.GDP.MKTP.CD,547386645891.847
Singapore,SP.POP.TOTL,6036860
Sint Maarten (Dutch part),NY.GDP.MKTP.CD,1797836665.95136
Sint Maarten (Dutch part),SP.POP.TOTL,43350
Slovak Republic,NY.GDP.MKTP.CD,140934076532.375
Slovak Republic,SP.POP.TOTL,5422069
Slovenia,NY.GDP.MKTP.CD,72972015197.3859
Slovenia,SP.POP.TOTL,2127400
Solomon Islands,NY.GDP.MKTP.CD,1583964703.75061
Solomon Islands,SP.POP.TOTL,819198
"Somalia, Fed. Rep.",NY.GDP.MKTP.CD,11967000000
"Somalia, Fed. Rep.",SP.POP.TOTL,19009151
South Africa,NY.GDP.MKTP.CD,401144998373.585
South Africa,SP.POP.TOTL,64007187
South Sudan,NY.GDP.MKTP.CD,
South Sudan,SP.POP.TOTL,11943408
Spain,NY.GDP.MKTP.CD,1725671652742.19
Spain,SP.POP.TOTL,48848840
Sri Lanka,NY.GDP.MKTP.CD,98963185509.6499
Sri Lanka,SP.POP.TOTL,21916000
St. Kitts and Nevis,NY.GDP.MKTP.CD,1122388888.88889
St. Kitts and Nevis,SP.POP.TOTL,46843
St. Lucia,NY.GDP.MKTP.CD,2549062962.96296
St. Lucia,SP.POP.TOTL,179744
St. Martin (French part),NY.GDP.MKTP.CD,
St. Martin (French part),SP.POP.TOTL,26129
St. Vincent and the Grenadines,NY.GDP.MKTP.CD,1157207407.40741
St. Vincent and the Grenadines,SP.POP.TOTL,100616
Sudan,NY.GDP.MKTP.CD,49672435513.1126
Sudan,SP.POP.TOTL,50448963
Suriname,NY.GDP.MKTP.CD,4416775112.09627
Suriname,SP.POP.TOTL,634431
Sweden,NY.GDP.MKTP.CD,603715224265.798
Sweden,SP.POP.TOTL,10569709
Switzerland,NY.GDP.MKTP.CD,936564198048.516
Switzerland,SP.POP.TOTL,9005582
Syrian Arab Republic,NY.GDP.MKTP.CD,
Syrian Arab Republic,SP.POP.TOTL,24672760
Tajikistan,NY.GDP.MKTP.CD,14204575548.5536
Tajikistan,SP.POP.TOTL,10590927
Tanzania,NY.GDP.MKTP.CD,78844405385.2195
Tanzania,SP.POP.TOTL,68560157
Thailand,NY.GDP.MKTP.CD,526517658841.684
Thailand,SP.POP.TOTL,71668011
Timor-Leste,NY.GDP.MKTP.CD,1865608515.41321
Timor-Leste,SP.POP.TOTL,1400638
Togo,NY.GDP.MKTP.CD,10651180146.531
Togo,SP.POP.TOTL,9515236
Tonga,NY.GDP.MKTP.CD,
Tonga,SP.POP.TOTL,104175
Trinidad and Tobago,NY.GDP.MKTP.CD,25633544529.4849
Trinidad and Tobago,SP.POP.TOTL,1368333
Tunisia,NY.GDP.MKTP.CD,51332285656.5422
Tunisia,SP.POP.TOTL,12277109
Turkiye,NY.GDP.MKTP.CD,1359123768774.12
Turkiye,SP.POP.TOTL,85518661
Turkmenistan,NY.GDP.MKTP.CD,51387209872.2994
Turkmenistan,SP.POP.TOTL,7494498
Turks and Caicos Islands,NY.GDP.MKTP.CD,1745378000
Turks and Caicos Islands,SP.POP.TOTL,46535
Tuvalu,NY.GDP.MKTP.CD,
Tuvalu,SP.POP.TOTL,9646
Uganda,NY.GDP.MKTP.CD,53911907086.1525
Uganda,SP.POP.TOTL,50015092
Ukraine,NY.GDP.MKTP.CD,190741262414.705
Ukraine,SP.POP.TOTL,37860221
United Arab Emirates,NY.GDP.MKTP.CD,552324846834.581
United Arab Emirates,SP.POP.TOTL,10986400
United Kingdom,NY.GDP.MKTP.CD,3686033044482.13
United Kingdom,SP.POP.TOTL,69226000
United States,NY.GDP.MKTP.CD,28750956130731.2
United States,SP.POP.TOTL,340110988
Uruguay,NY.GDP.MKTP.CD,80961511073.5797
Uruguay,SP.POP.TOTL,3386588
Uzbekistan,NY.GDP.MKTP.CD,114965293466.611
Uzbekistan,SP.POP.TOTL,36361859
